,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
16477,46980670,IOS-Разработчик,Москва,,,,
16502,46981363,DevOps-инженер / Системный администратор / Системный инженер,Москва,,,,
16504,46981601,Backend-разработчик,Мытищи,,,,
16505,46981602,Backend-разработчик,Москва,,,,
16508,46981873,QA Engineer (Remote),Москва,,,,
16510,46982030,QA engineer (ecommerce),Москва,,,,
16511,46982056,Системный администратор,Ярославль,37895.0,,RUR,True
16512,46982084,QA engineer (ecommerce),Санкт-Петербург,,,,
16513,46982107,Веб-разработчик / Full-stack developer (Middle),Самара,60000.0,120000.0,RUR,False
16514,46982117,DevOps/ инженер Linux,Санкт-Петербург,,,,
16515,46982148,DevOps/ инженер Linux,Москва,,,,
16516,46982774,Аналитик технической поддержки (2 линия),Москва,,,,
16517,46982929,Администратор технической поддержки (2 линии),Москва,,,,
16519,46983242,Программист 1С-Битрикс Middle,Кемерово,100000.0,150000.0,RUR,True
16520,46983415,Программист C# .Net,Москва,,,,
16522,46983475,Java-разработчик,Москва,,,,
16523,46983647,Frontend-разработчик (React/Vue),Мытищи,,,,
16524,46983648,Frontend-разработчик (React/Vue),Москва,,,,
16525,46983653,Flutter / React Native Developer,Москва,,,,
16526,46983733,Старший аналитик данных,Москва,,,,
16529,46984172,Инженер по тестированию / QA,Москва,,,,
16533,46984612,DevOps Engineer,Нижний Новгород,,,,
16535,46985078,Программист 1C 8,Москва,,,,
16536,46985169,Инженер по автоматизации тестирования / Ozon Bank,Санкт-Петербург,,,,
16537,46985170,Инженер по автоматизации тестирования / Ozon Bank,Москва,,,,
16538,46985281,Разработчик Back-end (C# .NET Core),Москва,,,,
16542,46985777,Тестировщик (web) / QA Engineer,Москва,50000.0,,RUR,False
16543,46986136,Программист 1С,Москва,,180000.0,RUR,False
16547,46986327,Специалист технической поддержки,Москва,,72000.0,RUR,True
16548,46986695,Middle Java Developer,Ростов-на-Дону,,,,
16549,46986696,Middle Java Developer,Краснодар,,,,
16550,46986869,JavaScript Junior-разработчик (удаленно),Москва,,,,
16551,46987098,Инженер-программист junior,Краснодар,60000.0,,RUR,False
16552,46987153,QA engineer gamedev,Москва,,,,
16553,46987751,Системный администратор,Саратов,,33500.0,RUR,True
16556,46988104,Инженер удаленной поддержки,Самара,47000.0,,RUR,True
16557,46988301,Java-разработчик,Москва,130000.0,250000.0,RUR,True
16558,46988803,Специалист технической поддержки/Системный администратор,Санкт-Петербург,,,,
16560,46989260,Middle PHP developer,Москва,,,,
16561,46989298,Full-Stack developer,Москва,,,,
16562,46990013,Golang middle developer,Краснодар,100000.0,,RUR,False
16564,46990238,Frontend-разработчик,Санкт-Петербург,,,,
16568,46990580,JS (React) developer (Сross Browser Solutions),Нижний Новгород,,,,
16569,46990581,JS (React) developer (Сross Browser Solutions),Казань,,,,
16570,46990730,Аналитик 1С (ЗУП),Москва,,,,
16571,46991231,Junior тестировщик,Рязань,,,,
16574,46991776,Оператор отдела контроля качества с фарси или урду,Санкт-Петербург,35000.0,75000.0,RUR,False
