,id,area_name,address_lat,address_lng,employer_id,employer_name
38148,48565106,Энгельс,,,1740,Яндекс
38149,48565107,Старый Оскол,,,1740,Яндекс
38150,48565108,Елец,,,1740,Яндекс
38151,48565218,Санкт-Петербург,0.0,0.0,2261,"Пивоваренная компания «Балтика», часть Carlsberg Group"
38152,48565291,Москва,,,346616,Social Quantum
38153,48565336,Краснодар,45.060924,39.00149,3117703,Информтренд
38156,48565506,Казань,55.790084,49.110879,4841198,Платежные системы
38161,48565942,Москва,55.776315,37.474731,5336778,GriffonStyle
38163,48566010,Москва,,,2080750,Викиум
38167,48566137,Москва,,,885718,IGA Technologies
38168,48566189,Кемерово,,,1362898,МФК Займер
38170,48566237,Пермь,,,238161,СИГМА
38171,48566238,Волгоград,,,238161,СИГМА
38172,48566380,Ростов-на-Дону,47.147638,39.748556,4986165,Целестра
38174,48566429,Магнитогорск,,,939762,Факт
38178,48566612,Ростов-на-Дону,47.237064,39.698214,2748,Ростелеком
38179,48566621,Йошкар-Ола,,,1191071,ACI Worldwide Russia
38180,48566698,Санкт-Петербург,,,39305,Газпром нефть
38182,48566759,Санкт-Петербург,,,69646,Энерго
38183,48566784,Тула,54.184588,37.613467,7789,DDPlanet
38186,48566922,Пермь,58.00561,56.25553,1833,Компания БКС
38193,48567216,Москва,,,1399653,ГРУППА КИТ
38194,48567230,Иваново (Ивановская область),,,3786114,Happy Phone
38197,48567647,Тольятти,53.535823,49.320186,4235252,Optimax Dev
38198,48567735,Новосибирск,55.0884747788,82.9759249081,3776,МТС
38199,48567793,Новосибирск,55.087064,82.975308,3776,МТС
38200,48567942,Москва,,,2948126,1С Онлайн Геймс
38210,48567986,Первоуральск,,,5465218,Киберсталь
38233,48568125,Нижний Новгород,56.30828,44.003049,667710,МКК Срочноденьги
38243,48568263,Москва,55.746405,37.682592,57315,НПК ФАРМАСОФТ
38250,48568573,Москва,55.7472329566,37.5365582907,2180,Ozon
38251,48568631,Ростов-на-Дону,,,5627550,Платинум Консалтинг
38254,48568669,Москва,55.700892,37.625433,222045,"Борлас, Консалтинговая группа"
38256,48568720,Санкт-Петербург,59.946004,30.367234,150451,"Коста, информационные технологии"
38260,48569070,Химки,55.903893,37.427112,53417,Henderson
38261,48569127,Санкт-Петербург,,,7172,"Лента, федеральная розничная сеть"
38263,48569314,Москва,55.750028,37.534397,697587,Hyundai AutoEver Rus
